Response ID,Date,study,cond,CHANGE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N,PRE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N
R_1Q9hKyzcZsgt64p,1,2,2,,9,-13,7,12,-10,4,11,14,6,23,1,2,,78,92,76,72,88,83,77,67,76,62,84,89
R_1K6HSG1hUeBTWcA,1,2,2,,27,9,6,-48,18,29,-14,0,-37,62,-39,-74,,58,60,57,81,82,71,14,0,72,0,39,77
R_24tSKpBainU0Jzm,1,2,1,,14,19,3,8,15,7,7,-26,-5,-47,-3,-15,,70,61,59,78,70,66,28,54,72,60,30,42
R_2ZWvL6htZ24603z,1,2,1,,12,62,18,-40,20,7,-64,-40,-72,-74,-82,-18,,76,29,60,79,58,3,78,80,73,79,83,21
R_us5NQL8ASABRv1f,1,2,2,,16,6,100,0,0,71,-28,16,0,-79,-79,19,,0,21,0,100,100,29,100,0,100,100,100,25
R_2P5cBNk7Y8nfunZ,1,2,2,,21,50,-8,-1,1,70,0,22,7,-75,8,15,,71,39,100,96,93,24,92,78,93,97,88,74
R_3h9Of902qktiKDA,1,2,2,,53,-18,4,47,-29,38,55,-54,-22,-50,-12,-12,,33,77,67,27,99,36,8,79,92,89,92,79
R_31iWtJCf0ZYIeUq,1,2,2,,44,-4,100,0,0,2,15,10,0,-15,0,-9,,38,85,0,100,100,0,0,15,100,22,100,85
R_UlLMUFT949jo7iF,1,2,1,,-30,-25,0,-5,0,23,-27,-100,-100,0,7,-4,,35,28,100,100,100,76,54,100,100,0,92,4
R_pgwhEb8VKvHKSdj,1,2,1,,8,45,28,40,-18,8,-31,-12,-55,-46,-33,-31,,48,55,30,52,82,23,51,52,72,51,51,45
R_2PpMLiv0B6afx9z,1,2,2,,4,41,2,-14,7,25,-16,-14,-45,-11,-32,-22,,35,48,87,89,75,46,26,43,73,31,39,33
R_pKUgKXZWpCpEMoh,1,2,2,,0,48,48,-2,48,27,48,-49,0,-52,-32,18,,52,52,52,52,52,73,52,49,100,52,100,52
R_1jxPgLXf0o7f0DE,1,2,2,,24,53,49,0,12,-8,-4,-18,-7,27,-7,-31,,65,42,51,29,88,82,88,35,100,47,100,57
R_3P7evwEJkLFzXqR,1,2,1,,33,67,24,-55,0,-3,-29,-39,-26,-55,-1,29,,48,33,76,85,100,3,29,40,26,55,1,71
R_3MPzNLuGFpJ0J0I,1,2,1,,-39,30,-61,-11,0,-90,-22,1,-70,-90,0,0,,100,63,100,82,100,98,30,0,100,90,51,0
R_3OAzNXYMpzEJhdf,1,2,1,,20,4,58,0,21,-21,-33,-12,-62,-34,-4,20,,80,59,0,100,78,80,71,52,100,42,28,0
R_Pvc2zx5eSVYBi0N,1,2,2,,-13,-35,-14,-11,6,25,-2,-49,-2,-57,-43,5,,35,57,66,100,83,57,23,80,100,71,73,65
R_R2mo5Pdejmwe0AF,1,2,1,,50,2,24,-52,-5,-36,11,-48,-45,-9,-28,26,,27,62,64,88,87,70,21,77,81,34,67,32
